,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
511,2021-06-14 00:00:00.000,2021-06-14 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,119
512,2021-06-14 00:00:00.000,2021-06-14 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2005
513,2021-06-14 00:00:00.000,2021-06-14 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2809
514,2021-06-14 00:00:00.000,2021-06-14 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3579
515,2021-06-14 00:00:00.000,2021-06-14 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2958
528,2021-06-15 00:00:00.000,2021-06-15 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,532
529,2021-06-15 00:00:00.000,2021-06-15 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,141
530,2021-06-15 00:00:00.000,2021-06-15 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2230
531,2021-06-15 00:00:00.000,2021-06-15 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,3053
532,2021-06-15 00:00:00.000,2021-06-15 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3968
533,2021-06-15 00:00:00.000,2021-06-15 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3510
546,2021-06-16 00:00:00.000,2021-06-16 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,416
547,2021-06-16 00:00:00.000,2021-06-16 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,114
548,2021-06-16 00:00:00.000,2021-06-16 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2153
549,2021-06-16 00:00:00.000,2021-06-16 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2783
550,2021-06-16 00:00:00.000,2021-06-16 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3522
551,2021-06-16 00:00:00.000,2021-06-16 01:00:00.000,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2865
564,2021-06-17 00:00:00.000,2021-06-17 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,in,528
565,2021-06-17 00:00:00.000,2021-06-17 01:00:00.000,22995,S2_StGeorgesUpperSt_dlr001,S2,out,144
566,2021-06-17 00:00:00.000,2021-06-17 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2217
567,2021-06-17 00:00:00.000,2021-06-17 01:00:00.000,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2944
