,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
184,556,06/16/2021,06/16/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,944
185,557,06/16/2021,06/16/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,883
186,570,06/17/2021,06/17/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,229
187,571,06/17/2021,06/17/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,57
188,572,06/17/2021,06/17/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1579
189,573,06/17/2021,06/17/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1488
190,574,06/17/2021,06/17/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,958
191,575,06/17/2021,06/17/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,860
192,588,06/18/2021,06/18/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,238
193,589,06/18/2021,06/18/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,65
194,590,06/18/2021,06/18/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1412
195,591,06/18/2021,06/18/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1348
196,592,06/18/2021,06/18/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1090
197,593,06/18/2021,06/18/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,902
198,606,06/19/2021,06/19/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,254
199,607,06/19/2021,06/19/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,44
200,608,06/19/2021,06/19/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1509
201,609,06/19/2021,06/19/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1457
202,610,06/19/2021,06/19/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1049
203,611,06/19/2021,06/19/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,960
204,624,06/20/2021,06/20/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,249
205,625,06/20/2021,06/20/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,84
206,626,06/20/2021,06/20/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1132
207,627,06/20/2021,06/20/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1019
208,628,06/20/2021,06/20/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,1160
209,629,06/20/2021,06/20/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,963
210,642,06/21/2021,06/21/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,196
211,643,06/21/2021,06/21/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,55
212,644,06/21/2021,06/21/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1275
213,645,06/21/2021,06/21/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1216
214,646,06/21/2021,06/21/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,in,997
215,647,06/21/2021,06/21/2021 01:00,22999,S3_GeorgesStUpper_pathRHS_dlr001,S3,out,922
216,660,06/22/2021,06/22/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,in,217
217,661,06/22/2021,06/22/2021 01:00,22998,S3_GeorgesStUpper_dlr001,S3,out,59
218,662,06/22/2021,06/22/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,in,1371
219,663,06/22/2021,06/22/2021 01:00,22997,S3_GeorgesStUpper_pathLHS_dlr001,S3,out,1415
