,year,month,day,real data,data with prediction for 2023
320,2022,4,2,2213.7586242494667,2213.7586242494667
321,2022,4,3,1731.6554471106833,1731.6554471106833
322,2022,4,4,1552.7260244158183,1552.7260244158183
323,2022,4,5,1698.9578576607869,1698.9578576607869
324,2022,4,6,1663.9327376447395,1663.9327376447395
325,2022,4,7,1671.011296169226,1671.011296169226
326,2022,4,8,1791.461763502307,1791.461763502307
327,2022,4,9,2179.788473017485,2179.788473017485
328,2022,4,10,1513.1373155525935,1513.1373155525935
329,2022,4,11,1781.2437269094216,1781.2437269094216
330,2022,4,12,1469.7883834371457,1469.7883834371457
331,2022,4,13,1688.0223261351375,1688.0223261351375
332,2022,4,14,2113.340667381306,2113.340667381306
333,2022,4,15,2069.4858211731344,2069.4858211731344
334,2022,4,16,2096.195528163663,2096.195528163663
335,2022,4,17,1069.2119991403886,1069.2119991403886
336,2022,4,18,1389.0087324222154,1389.0087324222154
337,2022,4,19,1868.385910904402,1868.385910904402
338,2022,4,20,1874.0856584629958,1874.0856584629958
339,2022,4,21,1910.0779933170263,1910.0779933170263
340,2022,4,22,2064.0169326152118,2064.0169326152118
341,2022,4,23,2128.5047905551796,2128.5047905551796
342,2022,4,24,1535.3525993073367,1535.3525993073367
343,2022,4,25,1671.4839347650222,1671.4839347650222
344,2022,4,26,1759.1794885193622,1759.1794885193622
345,2022,4,27,1788.2985576005908,1788.2985576005908
346,2022,4,28,1747.2486543861712,1747.2486543861712
347,2022,4,29,2030.5461763254455,2030.5461763254455
348,2022,4,30,1922.9771426491864,1922.9771426491864
349,2022,5,1,1437.3792048183996,1437.3792048183996
350,2022,5,2,1662.8441276969238,1662.8441276969238
351,2022,5,3,1876.5416517897213,1876.5416517897213
352,2022,5,4,1969.6666666666667,1969.6666666666667
353,2022,5,5,2282.1666666666665,2282.1666666666665
354,2022,5,6,2217.1666666666665,2217.1666666666665
355,2022,5,7,2733.1666666666665,2733.1666666666665
356,2022,5,8,2135.3333333333335,2135.3333333333335
357,2022,5,9,1810.6666666666667,1810.6666666666667
358,2022,5,10,2060.6666666666665,2060.6666666666665
359,2022,5,11,2178.0,2178.0
360,2022,5,12,2150.6666666666665,2150.6666666666665
361,2022,5,13,2481.8333333333335,2481.8333333333335
362,2022,5,14,2508.8333333333335,2508.8333333333335
363,2022,5,15,1637.0,1637.0
364,2022,5,16,1981.3333333333333,1981.3333333333333
365,2022,5,17,1596.1666666666667,1596.1666666666667
366,2022,5,18,2178.1666666666665,2178.1666666666665
367,2022,5,19,2191.1666666666665,2191.1666666666665
368,2022,5,20,2310.6666666666665,2310.6666666666665
369,2022,5,21,2463.1666666666665,2463.1666666666665
370,2022,5,22,1577.5,1577.5
371,2022,5,23,1828.1666666666667,1828.1666666666667
372,2022,5,24,2108.8333333333335,2108.8333333333335
373,2022,5,25,2100.0,2100.0
374,2022,5,26,2192.3333333333335,2192.3333333333335
