,Unnamed: 0,index,UTC Datetime,Local Datetime,countlineId,countlineName,Sensor Number,direction,Pedestrian
158,158,476,06/12/2021,06/12/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2974.5760594900134
159,159,477,06/12/2021,06/12/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2976.8071194485124
160,160,478,06/12/2021,06/12/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,3554.862614282999
161,161,479,06/12/2021,06/12/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,3048.7285193396624
162,162,492,06/13/2021,06/13/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,494.0072938273325
163,163,493,06/13/2021,06/13/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,179.86849802395605
164,164,494,06/13/2021,06/13/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2515.3167627629828
165,165,495,06/13/2021,06/13/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2509.7090956852903
166,166,496,06/13/2021,06/13/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2475.8848676258604
167,167,497,06/13/2021,06/13/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2001.4942044166762
168,168,510,06/14/2021,06/14/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,314.3593028789064
169,169,511,06/14/2021,06/14/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,149.26696326668855
170,170,512,06/14/2021,06/14/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2403.5953573785173
171,171,513,06/14/2021,06/14/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2277.1001349423877
172,172,514,06/14/2021,06/14/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2587.593408503992
173,173,515,06/14/2021,06/14/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2214.0390419792925
174,174,528,06/15/2021,06/15/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,in,354.91594231780107
175,175,529,06/15/2021,06/15/2021 01:00,22995,S2_StGeorgesUpperSt_dlr001,S2,out,163.74549819813902
176,176,530,06/15/2021,06/15/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,in,2514.1682740366896
177,177,531,06/15/2021,06/15/2021 01:00,22994,S2_StGeorgesUpperSt_pathLHS_dlr001,S2,out,2614.5857109578583
178,178,532,06/15/2021,06/15/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,in,2793.004446591423
179,179,533,06/15/2021,06/15/2021 01:00,22996,S2_StGeorgesUpperSt_pathRHS_dlr001,S2,out,2394.937020468257
